name,phone,city,category,note
Dila,+77026941190,Актау,Парикмахерская,Полный образ за 1.5ч
BS Nargiz-BS Room,+77013244123,Актау,Маникюр,
LUX ESTHETIC BEAUTY,+77023265455,Атырау,Маникюр,Гель-лак
Phoenix,+77002479726,Атырау,Маникюр,Infinity Mall
Tarabrina_beauty,+77475003194,Атырау,Подология,
Dillor Beauty Studio,+77751944870,Атырау,Маникюр,Экспресс-услуги
EGOISTme,+77758881515,Атырау,Маникюр,Подология
Nails Love Studio,+77770429896,Атырау,Маникюр,
Беатрис,+77757310846,Атырау,Косметология,Дом красоты
Примавера,+77016440861,Атырау,Маникюр,Подология
AVATARIYA,+77003003323,Алматы,Детский центр,Тематические дни рождения
Теремок,+77783062130,Астана,Детский сад,Логопед психолог английский
Aldi bi,+77717007545,Астана,Детский сад,Reggio подход
Kids Park,+77008000271,Астана,Детский центр,Крупнейший парк
KIDBURG,+77010499979,Астана,Детский центр,Развитие навыков
Ingenium,+77018888342,Астана,Детский сад,8:00-19:00
Akadembala,+77003983032,Астана,Детский сад,Видеонаблюдение
Multi kids,+77056662162,Астана,Детский центр,6 локаций английский
Amiland,+77784959183,Астана,Детский центр,700 кв.м батуты
Spectrum International Kindergarten,+77020416190,Астана,Детский сад,С 2013г 320 учеников
GT oil service,+77787770753,Алматы,Автосервис,Комплексный сервис
AutoPapa,+77071110450,Алматы,Автосервис,Развал-схождение
Grand Auto Motors,+77710719214,Алматы,Автосервис,Диагностика 990тг
PushStart Service,+77029062237,Алматы,Автосервис,-10% новым клиентам
Garage,+77079080926,Алматы,Автосервис,Вибрация-стенд
Sati Auto,+77075184819,Алматы,Автосервис,10+ лет опыта
Almat autoservice,+77071956361,Алматы,Автосервис,Бесплатная замена масла
LADA SERVICE KZ,+77051448929,Алматы,Автосервис,LADA Renault
Sushibox,+77008188080,Алматы,Доставка еды,Японская кухня
Ginger Sushi,+77022218880,Алматы,Доставка еды,Суши+пицца скидка ДР
Sushi'n'Roll,+77476063139,Алматы,Доставка еды,Суши роллы пицца
Deya Beauty,+77002120668,Алматы,Ресницы,От 10990тг
Aura beauty house,+77000957040,Алматы,Ресницы,Экспресс-маникюр
Qoroleva_lashes,+77079888832,Алматы,Ресницы,-10% первый визит
100 podrug,+77476210302,Алматы,Ресницы,Лэш+бровь 11000тг
My.Lashroom,+77011900993,Алматы,Ресницы,Гарантия 10 дней
Timeless Beauty Studio,+77751876827,Алматы,Ресницы,Ламинирование 6500тг
Queen de lux,+77071610659,Алматы,Ресницы,2 филиала 9999тг
Casablanca,+77776145067,Алматы,Ресницы,Бровь+ламинирование 10000тг
BulvarFlowers,+77755349648,Астана,Цветы,Доставка от 40000тг
As flowers,+77054120995,Астана,Цветы,Букеты от 20000тг открытка
Sandi.ChocoFlowers,+77078781139,Астана,Цветы,Авторские букеты доставка
Liana.flowers,+77756605354,Астана,Цветы,Розы от 555тг
Estetica Flowers,+77781052574,Астана,Цветы,24/7 розы 499тг бенто
Rose 777,+77001284444,Астана,Цветы,24/7 шары игрушки
BusyBee Montessori,+77064022003,Алматы,Детский сад,Бесплатный пробный день
Остров детства,+77059887012,Алматы,Детский сад,Билингв авторские методики
Зайка,+77083294229,Алматы,Детский сад,Бассейн соляная пещера
Ивушка,+77015575147,Алматы,Детский сад,Большая зелёная территория
Creative Kids,+77070695353,Алматы,Детский сад,Премиум 120000тг
Еркем-ай,+77078096651,Алматы,Детский сад,С 2х лет логопед
Нэмо,+77772745588,Алматы,Детский сад,Опытные педагоги 7+ лет
AMS Poznai-ka,+77772143692,Алматы,Детский сад,Монтессори
Браво,+77089727781,Алматы,Детский сад,100% подготовка к школе
FasTracKids,+77066157070,Алматы,Детский сад,Международная -10% первый месяц
Just Speak It,+77477012606,Алматы,Курсы английского,Бесплатные речевые клубы
Study Link,+77003650000,Алматы,Курсы английского,Бесплатная Турция при подписке 4+ мес
LINGVOMANIA,+77566975540,Алматы,Курсы английского,Индивидуальные занятия
Level Up education,+77073901201,Алматы,Курсы английского,IELTS 7.0+ онлайн/офлайн
World Citizen,+77199593960,Алматы,Курсы английского,12 языков
Impulse Education,+77478819387,Алматы,Курсы английского,IELTS TOEFL
Ivy League Education,+77076104040,Алматы,Курсы английского,SAT IELTS поступление в вузы
Helen Doron English,+77074035323,Алматы,Курсы английского,-10% семейная скидка
Fastrack International,+77566662350,Алматы,Курсы английского,Разговорный
English-Land,+77078180080,Алматы,Курсы английского,-25% подписка
SpeakUp,+77724551700,Алматы,Курсы английского,Бесплатное пробное
Prostretching,+77059660090,Алматы,Фитнес,Годовой 15890тг 8 направлений
YA. Минусинская,+77083441540,Алматы,Фитнес,Бокс танцы стретч 20791тг/мес
Forme,+77022222566,Алматы,Фитнес,Премиум для женщин
Hero's Journey,+77083002018,Алматы,Фитнес,2 филиала номинант 2026
Wellness Club LUXOR,+77475001738,Алматы,Фитнес,Бассейн сауна тренер
Tamos Family Club,+77775700715,Алматы,Фитнес,Семейный бассейн дети
Vozrождение,+77083624173,Алматы,Массаж,Детский антицеллюлитный
Spa Harmony,+77078209811,Алматы,СПА,Пакеты от 16000тг массаж 8000тг
AziMedkz,+77075076404,Алматы,Массаж,Тайский медцентр
АҚмед,+77070000022,Алматы,Массаж,Велнес и детский
Alash expert clinic,+77009990103,Алматы,Массаж,Медцентр
Lalu Cake,+77075707776,Алматы,Кондитерская,Торты за 30 мин бенто
Caramel,+77781085544,Алматы,Кондитерская,Торты за 1 час доставка
Boni_berry_,+77755007306,Алматы,Кондитерская,Клубника в шоколаде
Napoleon concept,+77027030083,Алматы,Кондитерская,10+ видов Наполеонов
Тәп-Тәтті Алматы,+77005556050,Алматы,Кондитерская,Премиум натуральные ингредиенты
Lovely cakes,+77073321845,Алматы,Кондитерская,-10% декорированные
DINARA MYNBAI,+77758310106,Астана,Парикмахерская,Жен 5300тг муж 4500тг
SuperMe Prime Astana,+77019440413,Астана,Салон красоты,Кератин лицо от 12000тг
Taza Zhan,+77774277799,Алматы,Химчистка,-20% шторы пуховики
Маленькая Италия,+77078199587,Алматы,Ремонт обуви,Итальянская сеть
SNEAKNFRESH,+77479052150,Алматы,Химчистка,-20% первый визит
Чistsam,+77777191111,Алматы,Химчистка,Премиум одежда
Grand clean,+77051000535,Алматы,Химчистка,-1700тг первый раз
Pena.kz,+77478084104,Алматы,Химчистка,Обувь куртки сумки
Saz_records,+77057944547,Алматы,Студия звукозаписи,Запись от 8000тг
